"id","cardId","productId","quantity"
"86c29c4d-8f5c-486f-9394-3e71b2d7e845","883b576e-b706-4089-8319-bba3a5b6d077","d6c6182c-4633-4304-96a3-ed2195f29ffc","2"
"8f44c9f1-988c-40e0-8aac-60b6eda3efdb","29cc3e43-179f-4fe6-a65a-b45b4ea35360","955776ea-3d96-404e-a4f5-509623850715","2"
"8fd28eea-7001-464d-8bc8-eb62de6a5b89","e8037827-f21e-402f-ac4b-70a5bb041157","048809ff-8021-495b-8a92-34313ad2cf97","20"
"96b24f2b-6b9d-446f-b76c-6dd8a7759670","ab6dce6a-0ff4-4b15-b439-6eb147bf9abd","8e47c978-583c-431b-842d-cafa915cbbd7","1"
"b0680f97-70b7-47b3-b1e6-4acdace66fb9","e8037827-f21e-402f-ac4b-70a5bb041157","048809ff-8021-495b-8a92-34313ad2cf97","20"
"b0d92238-976f-4e9a-bb2c-33abc8c061ae","e8037827-f21e-402f-ac4b-70a5bb041157","048809ff-8021-495b-8a92-34313ad2cf97","20"
"b39d0955-6a4f-414c-a547-47a8a24e780b","ec3e3936-a266-4e81-87ff-6403db13d2e6","097e7fc1-4b78-4bf0-bec6-47fb31973a3c","1"
"d97028b9-717c-47b1-9b0d-3093f15d0583","5cbe3859-3683-4fe3-8298-153562d3364d","352917ae-b9a7-4953-a199-276de18c4360","20"
"db290031-7a20-4ce6-9342-855432681679","5cbe3859-3683-4fe3-8298-153562d3364d","352917ae-b9a7-4953-a199-276de18c4360","20"
"e522cd3f-37e5-4b4e-b1f3-ad129b93f2a9","e8037827-f21e-402f-ac4b-70a5bb041157","048809ff-8021-495b-8a92-34313ad2cf97","20"
"f441edf3-81e4-4e5d-b958-29187d4963ee","883b576e-b706-4089-8319-bba3a5b6d077","d6c6182c-4633-4304-96a3-ed2195f29ffc","1"
"f77d30cd-d11e-499e-8eec-fe780879b850","e8037827-f21e-402f-ac4b-70a5bb041157","048809ff-8021-495b-8a92-34313ad2cf97","20"
"03eb1fd6-ea7c-4ca1-82d8-cd06841c9820","5cbe3859-3683-4fe3-8298-153562d3364d","352917ae-b9a7-4953-a199-276de18c4360","20"
"0f8bfcbc-5a23-4837-b03f-55026f9674a9","883b576e-b706-4089-8319-bba3a5b6d077","d6c6182c-4633-4304-96a3-ed2195f29ffc","1"
"177f97d0-212a-442e-b0c0-115c15a2ee08","29cc3e43-179f-4fe6-a65a-b45b4ea35360","955776ea-3d96-404e-a4f5-509623850715","1"
"17d0098a-ebc7-4749-8dd6-a5b9c6077d1b","29cc3e43-179f-4fe6-a65a-b45b4ea35360","955776ea-3d96-404e-a4f5-509623850715","1"
"1ffe66d2-294a-4014-9983-9e49ff8a9bb2","5cbe3859-3683-4fe3-8298-153562d3364d","352917ae-b9a7-4953-a199-276de18c4360","20"
"2a44485f-7096-4542-8caa-2d8e300a98d1","e8037827-f21e-402f-ac4b-70a5bb041157","048809ff-8021-495b-8a92-34313ad2cf97","20"
"41fb189a-44a8-4a97-b241-0136fa95aa90","5cbe3859-3683-4fe3-8298-153562d3364d","352917ae-b9a7-4953-a199-276de18c4360","20"
"516a0722-ff5b-41ed-89b5-321881aec7b6","883b576e-b706-4089-8319-bba3a5b6d077","d6c6182c-4633-4304-96a3-ed2195f29ffc","1"
"5a02ac31-890e-4bee-94c6-54fa6f2589bb","e8037827-f21e-402f-ac4b-70a5bb041157","048809ff-8021-495b-8a92-34313ad2cf97","20"
"62b4110b-0aad-4e4b-9da8-70eba2fca150","5cbe3859-3683-4fe3-8298-153562d3364d","352917ae-b9a7-4953-a199-276de18c4360","20"
"6d18b8f8-f2bc-4985-9fa4-3f246da8b5ff","5cbe3859-3683-4fe3-8298-153562d3364d","352917ae-b9a7-4953-a199-276de18c4360","20"
"7fe416b1-ae75-44ed-b2f3-f1a0b96dec31","29cc3e43-179f-4fe6-a65a-b45b4ea35360","955776ea-3d96-404e-a4f5-509623850715","1"
