"id","name","price","brand","description","department","stock","photo"
"4c759a2f-dd22-46f0-b8ae-2d928ff38b65","Product","10.0","1ae318b2-e200-488a-8eee-09b62df869a3","Produtin top dms","062d7d7a-424e-41ce-92f8-5ed8321dfecf","10","image"
"85648474-331e-4b3c-b851-602f42b77603","Samsung","25.5","90f10057-5bfd-41f8-a35f-d0b3e03d4aa3","Samsung Galaxy S20","ed39e25a-2040-4f4d-a23e-8bc72ab584f6","1","photo"
"c9d7ace3-f945-45b5-be78-5f16c63677e0","Apple","50.0","90f10057-5bfd-41f8-a35f-d0b3e03d4aa3","Iphone 12","ed39e25a-2040-4f4d-a23e-8bc72ab584f6","5","photo"
"db996375-cf92-4f19-baae-6dc12750a131","Samsung","25.5","90f10057-5bfd-41f8-a35f-d0b3e03d4aa3","Samsung Galaxy S20","ed39e25a-2040-4f4d-a23e-8bc72ab584f6","1","photo"
"abcd1c10-40db-4e43-b273-cc35c5926f1b","Samsung","25.5","90f10057-5bfd-41f8-a35f-d0b3e03d4aa3","Samsung Galaxy S20","ed39e25a-2040-4f4d-a23e-8bc72ab584f6","1","photo"
"f09b4423-20b3-4fbd-a908-d568eaf62c2e","Product 1","20.0","e9defb28-2d0d-42f7-90ed-c07b0132fe32","Description 1","6bc5e4f6-8c0d-4ebe-a768-3e7137277fa9","10","photo"
"973532d6-2dc6-4cc6-871c-a96b464aaa64","Teclado Mecânico","600.0","b2e0e552-6539-4edd-b5e3-893a88ac693e","Teclado com teclas suaves","11d19852-451e-4376-a10c-ca22494ac8fb","15","photo"
"0a77d426-62df-42e9-b900-d6be29737d82","Mouse","200.0","b2e0e552-6539-4edd-b5e3-893a88ac693e","Mouse com fio","11d19852-451e-4376-a10c-ca22494ac8fb","10","photo"
"732fafd6-6373-4322-a716-c2591fbd31fe","Mouse","200.0","b2e0e552-6539-4edd-b5e3-893a88ac693e","Mouse com fio","11d19852-451e-4376-a10c-ca22494ac8fb","10","photo"
"4d7ed278-9b38-44b8-82cd-bba15992322d","Product 1","1.0","6bfd4503-cf7d-469c-a922-e26a26282451","Mui Bom","d42f8644-7548-4063-b049-20677d0ac9c3","1","photo"
"540d3767-e20e-4a06-b67c-069ee0a7c77d","Mouse gamer","1000.0","0f70d5a1-3829-458b-b164-d853d07b3b63","Mouse usado em competição","11d19852-451e-4376-a10c-ca22494ac8fb","10","photo"
"338433d9-473f-4eb0-a045-02566d5f77d0","Mouse gamer","1000.0","0f70d5a1-3829-458b-b164-d853d07b3b63","Mouse usado em competição","11d19852-451e-4376-a10c-ca22494ac8fb","10","photo"
"c3c2688f-dd74-4a9b-8426-2a2eb9f71df3","Mouse gamer","1000.0","0f70d5a1-3829-458b-b164-d853d07b3b63","Mouse usado em competição","11d19852-451e-4376-a10c-ca22494ac8fb","10","photo"
"cca26274-8ca1-4ba5-9ee8-7a49ab50be2b","Mouse gamer","1000.0","0f70d5a1-3829-458b-b164-d853d07b3b63","Mouse usado em competição","11d19852-451e-4376-a10c-ca22494ac8fb","10","photo"
"5b3b4df7-a358-4275-add8-636add9401b9","Mouse gamer","1000.0","0f70d5a1-3829-458b-b164-d853d07b3b63","Mouse usado em competição","11d19852-451e-4376-a10c-ca22494ac8fb","10","photo"
"3b18ff6c-7ab0-4813-9542-299c97a6f1fb","Mouse gamer","1000.0","0f70d5a1-3829-458b-b164-d853d07b3b63","Mouse usado em competição","11d19852-451e-4376-a10c-ca22494ac8fb","10","photo"
"90f40e6c-176b-4619-88f2-252ee75b98c7","Mouse gamer","1000.0","0f70d5a1-3829-458b-b164-d853d07b3b63","Mouse usado em competição","11d19852-451e-4376-a10c-ca22494ac8fb","10","photo"
"2be05c51-fad0-4ca8-9f1c-0a6e9537d941","Mouse gamer","1000.0","0f70d5a1-3829-458b-b164-d853d07b3b63","Mouse usado em competição","11d19852-451e-4376-a10c-ca22494ac8fb","10","photo"
"5a4c1ed7-fc05-494f-8a00-7dc43e6186ed","Mouse gamer","1000.0","0f70d5a1-3829-458b-b164-d853d07b3b63","Mouse usado em competição","11d19852-451e-4376-a10c-ca22494ac8fb","10","photo"
"c94e62a9-567d-4c0a-8ff3-7231c88464d0","Iphone","1000.0","2f9218bf-0bfc-4183-8100-edbaabc0a58a","Smartphone","04dd489c-cbcf-4e6b-9f21-6f76e8532f1c","10","photo"
