"id","name","permissionLevel"
"3a92f45a-9e80-497b-ae49-c9d1d07bfd46","ADMIN","1"
"eb3e46ec-7ad3-41c2-95d8-1ab9ea6e258f","USER","2"
"912a60ca-877e-47b3-a3de-736197db35a1","ADMIN","1"
"4b2eabcd-676c-42d0-87dd-18054e6737f6","ADMIN","1"
"eac4899c-b53b-474c-a281-13f131824fcd","USER","2"
"3aa5a792-fbe9-43cb-b0ef-39c92a97d14b","CEO","1"
"41a05ddc-dfbf-414b-a08d-1866761cca94","CEO","1"
"6ab8c49d-be74-462f-81c6-373e3d231060","CEO","1"
"bd03d93a-8f1c-4fd7-b37c-230e2ce6ff65","CTO","2"
"aa581263-2acb-44a3-86dd-f47bb33db94c","CEO","1"
"469dbb33-ff35-4a80-b6fd-6463f126da8c","ADMIN","1"
"925c33fe-8797-4114-926f-1c879d51afed","CEO","1"
"4f265e44-a308-4090-b7d2-e408ce5ad795","CEO","1"
