"id","name"
"1ae318b2-e200-488a-8eee-09b62df869a3","Brand"
"0f70d5a1-3829-458b-b164-d853d07b3b63","Samsung"
"a02cabf3-0024-4860-9b15-7e311fe969c1","LG"
"c5b770a0-4e1f-45ef-bf10-9b29545fc5cc","Samsung"
"97ce1584-cbf2-4ba3-a5e9-00a5dc2d40b3","Samsung"
"90f10057-5bfd-41f8-a35f-d0b3e03d4aa3","Samsung"
"e9defb28-2d0d-42f7-90ed-c07b0132fe32","Brand 1"
"b2e0e552-6539-4edd-b5e3-893a88ac693e","Nvidia"
"6bfd4503-cf7d-469c-a922-e26a26282451","Samsung"
"374c049b-788d-4eca-9053-18a9e3d6bb44","Google"
"db4b53cb-f509-46e9-ade2-3adadaa70342","Microsoft"
"3cf335d8-9abe-46da-afbc-ab75953ec9b3","Google"
"9173e859-47f2-4102-8a8c-3010afb2a849","Google"
"06218485-2fdf-4a9a-bb82-97f398217200","Microsoft"
"fb2db74a-a9a9-4def-84e3-1a9ea44a332f","Samsung"
"2f9218bf-0bfc-4183-8100-edbaabc0a58a","Apple"
